customer_id,age,income,tenure_months,monthly_charges,churn
1,56,44855,7,63.87,0
2,69,76434,68,136.95,0
3,46,87694,58,98.98,0
4,32,58016,29,51.77,0
5,60,22400,36,84.77,0
6,25,57642,21,62.95,1
7,38,30151,36,141.38,1
8,56,66407,10,20.98,1
9,36,81690,24,49.29,1
10,40,19499,64,67.5,0
11,28,21295,49,83.42,0
12,28,74040,36,130.61,1
13,41,27183,24,31.43,0
14,53,44299,23,124.76,1
15,57,27874,62,27.23,0
16,41,47711,37,129.5,1
17,20,20539,12,26.71,0
18,39,68351,55,22.37,1
19,19,76267,13,110.6,1
20,41,63354,23,149.64,0
21,61,17557,30,136.56,1
22,47,53360,17,94.88,0
23,55,97018,62,139.26,0
24,19,17200,13,20.69,1
25,38,83497,59,146.76,1
26,50,61975,19,83.8,0
27,29,36357,49,113.98,0
28,39,92505,12,126.71,1
29,61,17869,61,113.4,0
30,42,76135,19,89.55,1
31,66,65108,9,81.96,1
32,44,109179,71,129.02,1
33,59,105272,28,46.66,1
34,45,53467,52,145.84,0
35,33,38328,16,112.42,1
36,32,106412,69,45.94,1
37,64,101831,12,115.71,1
38,68,18987,25,88.88,0
39,61,73871,52,111.94,0
40,69,37399,53,119.81,0
41,20,61214,23,31.35,0
42,54,114522,16,85.79,1
43,68,101416,57,141.16,0
44,24,85271,39,61.68,0
45,38,59064,53,97.2,0
46,26,85091,42,68.0,1
47,56,55818,58,79.05,0
48,35,60525,39,91.32,0
49,21,34830,14,91.36,1
50,42,32429,5,46.22,1
51,31,21893,35,108.99,0
52,67,94909,18,31.42,0
53,26,62333,9,38.05,1
54,43,18436,58,20.35,0
55,19,89290,17,35.17,0
56,37,91213,7,81.51,1
57,45,20895,46,98.79,0
58,64,34738,13,123.26,1
59,24,45746,40,33.87,0
60,61,64377,42,130.59,1
61,25,63404,9,116.98,0
62,64,69045,50,73.11,0
63,52,112888,27,141.28,1
64,31,54790,66,148.82,0
65,34,20600,5,46.65,1
66,53,109660,29,69.3,1
67,67,108179,37,140.44,1
68,57,55764,38,113.81,1
69,21,89543,8,26.25,1
70,19,60714,65,121.6,0
71,23,71835,17,127.63,1
72,59,117946,71,117.57,0
73,21,88744,45,123.94,1
74,46,71491,4,127.27,1
75,35,33589,36,44.23,1
76,43,58484,70,50.64,0
77,61,97989,31,102.39,0
78,51,51212,19,138.02,0
79,27,58525,61,61.11,0
80,53,62202,54,96.48,0
81,31,47635,39,108.79,1
82,48,78208,19,78.75,1
83,65,48828,39,112.79,0
84,32,33711,67,136.96,0
85,25,18420,45,101.13,0
86,31,111752,13,90.17,1
87,40,15301,58,77.04,0
88,57,60236,20,95.07,1
89,38,81235,61,66.2,0
90,33,69240,39,70.89,0
91,62,80726,1,89.14,0
92,35,25492,3,28.66,0
93,64,116279,62,49.77,0
94,41,21102,63,90.57,0
95,43,65336,25,76.1,1
96,42,100314,56,63.27,1
97,62,41641,33,114.97,0
98,58,49584,38,110.18,0
99,46,47745,6,41.67,0
100,32,38093,58,134.22,0
101,62,81105,44,84.41,0
102,18,118746,45,116.39,1
103,42,115199,32,94.51,1
104,24,66885,45,149.7,1
105,26,51631,61,117.81,0
106,41,87991,47,111.91,1
107,18,19014,21,121.21,1
108,61,26093,36,38.61,0
109,25,33070,19,46.59,0
110,41,50777,20,112.83,1
111,28,71958,57,84.22,0
112,68,97074,18,118.1,1
113,34,25729,47,33.38,1
114,25,114713,49,89.74,1
115,52,60017,14,69.25,0
116,52,81320,15,79.41,0
117,50,42751,31,98.51,0
118,22,93069,1,85.3,1
119,59,69748,54,90.18,0
120,56,20801,3,83.23,0
121,58,34190,16,73.16,0
122,45,64689,57,120.34,0
123,24,119290,12,21.59,1
124,26,65993,16,97.8,1
125,25,44592,24,93.52,1
126,29,25647,28,113.1,0
127,51,23716,8,97.87,1
128,50,103891,36,127.48,1
129,65,102545,8,144.68,1
130,40,104912,58,64.53,1
131,41,85316,60,49.56,1
132,54,17368,50,75.07,0
133,52,92575,28,57.43,1
134,61,21655,41,99.94,1
135,57,85031,64,138.54,0
136,39,91429,27,38.09,1
137,44,106083,63,33.1,0
138,52,102922,17,53.28,1
139,18,70766,33,114.39,0
140,52,28403,29,97.09,0
141,54,47097,13,33.29,0
142,64,93657,46,139.44,1
143,31,25966,35,122.71,1
144,20,114157,6,22.99,1
145,18,108848,69,104.68,1
146,22,67921,47,120.26,1
147,43,64726,25,68.68,0
148,31,65300,66,28.96,0
149,56,37677,10,30.05,0
150,44,70609,56,33.55,0
151,26,111825,30,129.26,1
