customer_id,age,gender,income,city,membership_type,referral_source,signup_date,last_purchase_date,num_purchases,total_spent,avg_rating,discount_used,product_review,is_churned
CUST00001,44.0,Male,13409.0,Qom,Silver,Email Campaign,2022-05-25,2022-07-04,9,616.85,3.4,0,کیفیت متوسط بود ولی ارسال سریع بود,1
CUST00002,36.0,Male,108205.0,Ahvaz,Silver,Instagram,2019-07-12,2024-09-10,5,821.15,,0,خیلی راضی بودم از خرید، کیفیت عالی بود,1
CUST00003,46.0,Female,74902.0,Isfahan,Silver,Friend Referral,2024-01-13,2024-12-01,12,169.19,3.9,0,کیفیت متوسط بود ولی ارسال سریع بود,0
CUST00004,56.0,Female,189106.0,Mashhad,Gold,Google Ads,2020-11-29,2024-07-23,6,153.54,5.0,0,,0
CUST00005,35.0,Male,81066.0,Tehran,Silver,Friend Referral,2023-04-14,2024-04-25,7,554.9,4.1,0,اصلا راضی نبودم، محصول آسیب دیده رسید,0
CUST00006,35.0,Male,18439.0,Karaj,Bronze,Friend Referral,2021-01-28,2021-06-12,12,498.58,3.2,0,قیمت مناسب و کیفیت خوب، پیشنهاد میکنم,1
CUST00007,57.0,Female,54241.0,Shiraz,Bronze,Friend Referral,2019-05-11,2024-04-27,5,149.82,3.4,0,خیلی راضی بودم از خرید، کیفیت عالی بود,0
CUST00008,47.0,Male,20935.0,Karaj,Silver,Instagram,2020-05-23,2020-09-05,9,401.03,3.9,0,خیلی راضی بودم از خرید، کیفیت عالی بود,1
CUST00009,32.0,Male,93603.0,Tehran,Bronze,Friend Referral,2022-02-01,2023-07-04,9,420.49,3.5,0,خیلی راضی بودم از خرید، کیفیت عالی بود,1
CUST00010,45.0,Female,18757.0,Isfahan,Bronze,Google Ads,2020-09-19,2022-12-11,4,85.79,4.8,1,پشتیبانی ضعیف بود اما محصول خوب بود,0
CUST00011,32.0,Male,18224.0,Isfahan,Silver,Instagram,2019-06-11,2023-09-23,7,204.38,3.1,1,کیفیت متوسط بود ولی ارسال سریع بود,1
CUST00012,32.0,Female,13823.0,Tehran,Silver,Instagram,2020-02-01,2020-06-05,10,1653.26,4.0,0,بسته بندی بد بود ولی محصول سالم بود,1
CUST00013,41.0,Female,27091.0,Mashhad,Bronze,Direct,2023-01-04,2023-12-26,10,24.5,4.8,0,کیفیت متوسط بود ولی ارسال سریع بود,0
CUST00014,15.0,Male,24012.0,Kerman,Gold,Friend Referral,2021-10-16,2022-11-19,4,176.7,3.7,0,اصلا راضی نبودم، محصول آسیب دیده رسید,1
CUST00015,17.0,Male,17035.0,Urmia,Silver,Telegram,2020-08-12,2020-10-29,7,588.73,,0,قیمت مناسب و کیفیت خوب، پیشنهاد میکنم,0
CUST00016,31.0,Female,119837.0,Tabriz,Bronze,Direct,2020-02-25,2021-03-19,13,567.08,4.1,0,کیفیت متوسط بود ولی ارسال سریع بود,0
CUST00017,26.0,Female,49908.0,Shiraz,Gold,Telegram,2019-02-15,2023-05-23,9,240.75,4.1,0,عالی بود، حتما دوباره خرید میکنم,1
CUST00018,42.0,Other,46506.0,Tehran,Silver,Friend Referral,2019-10-01,2024-06-20,10,330.81,4.5,0,عالی بود، حتما دوباره خرید میکنم,1
CUST00019,27.0,Female,94230.0,Yazd,Silver,Google Ads,2019-10-05,2019-12-17,7,970.35,2.8,0,خیلی راضی بودم از خرید، کیفیت عالی بود,1
CUST00020,21.0,Male,42351.0,Tehran,Silver,Google Ads,2021-07-11,2024-05-04,9,614.8,4.9,0,پشتیبانی ضعیف بود اما محصول خوب بود,0
CUST00021,56.0,Female,23174.0,Zahedan,Bronze,Telegram,2019-02-26,2024-06-21,7,458.04,2.8,0,پشتیبانی ضعیف بود اما محصول خوب بود,1
CUST00022,35.0,Male,13094.0,Shiraz,Silver,Friend Referral,2024-01-24,2024-04-14,9,360.8,4.9,0,بسته بندی بد بود ولی محصول سالم بود,0
CUST00023,39.0,Female,22403.0,Mashhad,Bronze,Email Campaign,2023-05-26,2024-11-12,10,514.61,4.4,0,اصلا راضی نبودم، محصول آسیب دیده رسید,0
CUST00024,21.0,Male,89612.0,Zahedan,Platinum,Email Campaign,2024-01-27,2024-10-16,6,111.23,4.4,0,کیفیت متوسط بود ولی ارسال سریع بود,1
CUST00025,31.0,Male,17099.0,Tehran,Gold,Instagram,2019-02-10,2019-11-14,6,863.96,5.0,1,قیمت مناسب و کیفیت خوب، پیشنهاد میکنم,0
CUST00026,39.0,Female,44886.0,Ahvaz,Silver,Instagram,2023-11-07,2024-09-29,1,71.48,4.9,1,قیمت مناسب و کیفیت خوب، پیشنهاد میکنم,0
CUST00027,24.0,Male,67532.0,Tabriz,Bronze,Telegram,2019-09-08,2024-10-29,10,439.14,4.7,0,,1
CUST00028,43.0,Male,43097.0,Tehran,Bronze,Google Ads,2023-05-04,2023-12-13,5,244.14,,1,عالی بود، حتما دوباره خرید میکنم,0
CUST00029,31.0,Male,46138.0,Mashhad,Bronze,Instagram,2020-06-29,2024-11-22,13,800.22,3.8,0,خیلی راضی بودم از خرید، کیفیت عالی بود,0
CUST00030,,Female,53818.0,Qom,Silver,Email Campaign,2022-09-30,2022-12-06,13,239.04,4.7,0,عالی بود، حتما دوباره خرید میکنم,0
CUST00031,31.0,Female,45596.0,Karaj,Bronze,Google Ads,2020-01-14,2023-09-18,11,379.42,4.4,1,عالی بود، حتما دوباره خرید میکنم,1
CUST00032,60.0,Male,95363.0,Tehran,Silver,Email Campaign,2024-02-26,2024-05-29,9,170.36,4.3,0,بسته بندی بد بود ولی محصول سالم بود,0
CUST00033,38.0,Male,19454.0,Zahedan,Bronze,Direct,2020-03-29,2020-04-16,7,498.15,4.1,0,,1
CUST00034,25.0,Male,,Tehran,Platinum,Direct,2019-07-13,2021-04-12,6,82.07,3.8,0,,0
CUST00035,48.0,Female,12198.0,Tehran,Bronze,Instagram,2019-03-27,2024-02-18,9,180.5,3.1,0,خیلی راضی بودم از خرید، کیفیت عالی بود,1
CUST00036,23.0,Female,10465.0,Isfahan,Platinum,Google Ads,2020-11-08,2024-08-05,8,619.93,4.6,0,بسته بندی بد بود ولی محصول سالم بود,1
CUST00037,41.0,Female,34579.0,Tehran,Platinum,Friend Referral,2019-01-25,2024-12-08,6,309.66,4.0,1,اصلا راضی نبودم، محصول آسیب دیده رسید,1
CUST00038,14.0,Female,50313.0,Tehran,Silver,Instagram,2021-08-12,2024-07-22,10,1285.74,3.9,0,خیلی راضی بودم از خرید، کیفیت عالی بود,0
CUST00039,22.0,Male,96606.0,Bandar Abbas,Gold,Google Ads,2020-05-27,2020-11-17,9,307.68,2.8,1,اصلا راضی نبودم، محصول آسیب دیده رسید,0
CUST00040,40.0,Female,155108.0,Isfahan,Silver,Google Ads,2020-07-06,2024-03-28,7,271.6,4.2,0,,1
CUST00041,47.0,Female,80171.0,Tehran,Silver,Instagram,2020-02-09,2024-10-22,10,1108.78,3.1,1,قیمت مناسب و کیفیت خوب، پیشنهاد میکنم,1
CUST00042,,Male,56179.0,Tehran,Bronze,Instagram,2022-01-12,2022-12-25,8,739.19,3.8,1,,1
CUST00043,37.0,Male,39974.0,Karaj,Bronze,Direct,2023-07-02,2023-07-02,6,471.67,4.7,0,قیمت مناسب و کیفیت خوب، پیشنهاد میکنم,0
CUST00044,34.0,Female,14491.0,Yazd,Silver,Instagram,2021-01-18,2021-03-21,7,166.06,4.1,0,کیفیت متوسط بود ولی ارسال سریع بود,0
CUST00045,20.0,Female,33269.0,Isfahan,Silver,Instagram,2019-11-05,2024-09-22,10,254.08,4.0,0,کیفیت متوسط بود ولی ارسال سریع بود,1
CUST00046,29.0,Male,78765.0,Tehran,Silver,Telegram,2022-01-13,2022-08-26,5,206.44,3.6,1,اصلا راضی نبودم، محصول آسیب دیده رسید,1
CUST00047,32.0,Female,62253.0,Tehran,Bronze,,2022-09-07,2023-11-03,9,364.48,3.7,0,خیلی راضی بودم از خرید، کیفیت عالی بود,0
CUST00048,51.0,Female,16784.0,Tehran,Bronze,Google Ads,2023-10-10,2023-10-28,5,120.47,5.0,1,اصلا راضی نبودم، محصول آسیب دیده رسید,0
CUST00049,42.0,Male,52492.0,Tehran,Bronze,Instagram,2022-10-11,2022-11-10,8,264.17,,0,خیلی راضی بودم از خرید، کیفیت عالی بود,0
CUST00050,17.0,Male,,Shiraz,Bronze,Telegram,2019-08-13,2021-12-04,4,168.66,,1,عالی بود، حتما دوباره خرید میکنم,1
CUST00051,,Male,44799.0,Tehran,Bronze,Email Campaign,2019-08-06,2021-04-29,7,623.1,4.0,0,قیمت مناسب و کیفیت خوب، پیشنهاد میکنم,1
CUST00052,120.0,Female,35714.0,Tabriz,Bronze,Direct,2021-07-13,2021-08-05,5,528.6,4.3,0,پشتیبانی ضعیف بود اما محصول خوب بود,0
CUST00053,30.0,Male,54141.0,Isfahan,Bronze,Telegram,2021-01-13,2023-04-29,16,1111.05,4.4,0,کیفیت متوسط بود ولی ارسال سریع بود,0
CUST00054,45.0,Male,55182.0,Zahedan,Gold,Google Ads,2019-10-25,2022-07-03,2,23.44,4.1,0,کیفیت متوسط بود ولی ارسال سریع بود,0
CUST00055,50.0,Female,24714.0,Urmia,Bronze,Friend Referral,2023-06-21,2024-01-17,8,775.71,2.9,0,,0
CUST00056,49.0,Female,47715.0,Tabriz,Silver,Instagram,2022-03-21,2024-11-05,9,627.07,4.1,0,پشتیبانی ضعیف بود اما محصول خوب بود,0
CUST00057,28.0,Male,32415.0,Mashhad,Bronze,Telegram,2024-01-13,2024-06-21,11,887.08,4.0,0,خیلی راضی بودم از خرید، کیفیت عالی بود,0
CUST00058,34.0,Male,14878.0,Mashhad,Gold,Direct,2020-05-25,2023-11-24,8,202.62,5.0,0,کیفیت متوسط بود ولی ارسال سریع بود,0
